date,open,high,low,close,adj_close,volume
12/30/2010,789.840027,793.039978,789.659973,789.73999,789.73999,19707200
12/31/2010,788.969971,789.820007,783.650024,783.650024,783.650024,17997700
1/3/2011,793.539978,800.940002,790.940002,798.559998,798.559998,42866700
1/4/2011,798.539978,801.130005,778.169983,785.830017,785.830017,47964200
1/5/2011,784.25,795.090027,783.02002,795.090027,795.090027,47649200
1/6/2011,795.559998,796.330017,788.580017,791.419983,791.419983,48441000
1/7/2011,792.450012,794.659973,777.059998,787.830017,787.830017,49631100
1/10/2011,784.51001,793.799988,778.890015,791.580017,791.580017,40364500
1/11/2011,794.559998,797.859985,790.98999,794.76001,794.76001,40507500
1/12/2011,795.820007,802.400024,795.820007,801.359985,801.359985,42269400
1/13/2011,801.359985,803.820007,797.5,800.650024,800.650024,43108400
1/14/2011,800.650024,807.890015,799.049988,807.570007,807.570007,46615900
1/18/2011,807.570007,807.659973,801.039978,807.559998,807.559998,52849900
1/19/2011,806.679993,807.210022,785.849976,786.890015,786.890015,47437100
1/20/2011,781.960022,785.780029,775.580017,778.080017,778.080017,49353200
1/21/2011,781.960022,786.890015,773.119995,773.179993,773.179993,49353200
1/24/2011,773.710022,781.52002,772.719971,779.280029,779.280029,39024700
1/25/2011,775.650024,780.059998,771.710022,779.960022,779.960022,45953800
1/26/2011,781.659973,793.929993,779.969971,793.719971,793.719971,47309800
1/27/2011,793.710022,797.530029,789.659973,795.429993,795.429993,43091900
1/28/2011,795.77002,796.039978,775.400024,775.400024,775.400024,56186300
1/31/2011,778.400024,785.469971,774.849976,781.25,781.25,41671600
2/1/2011,785.289978,800.539978,785.289978,798.890015,798.890015,51645000
2/2/2011,796.909973,801.47998,795.5,796.159973,796.159973,40982600
2/3/2011,796.119995,799.200012,787.789978,798.630005,798.630005,43709900
2/4/2011,798.98999,800.880005,794.609985,800.109985,800.109985,39259500
2/7/2011,801.150024,812.679993,801.150024,808.320007,808.320007,39022700
2/8/2011,808.099976,813.690002,805.349976,813.690002,813.690002,38815300
2/9/2011,810.900024,813.359985,806.070007,809.27002,809.27002,39222400
2/10/2011,804.77002,813.359985,804.179993,812.700012,812.700012,41846100
2/11/2011,809.799988,822.109985,809.799988,822.109985,822.109985,42193000
2/14/2011,822.219971,826.460022,822.219971,825.900024,825.900024,35670400
2/15/2011,824.659973,824.969971,819.409973,820.030029,820.030029,39268600
2/16/2011,823.309998,828.590027,823.309998,828.369995,828.369995,19664500
2/17/2011,827.539978,835.52002,826.799988,834.02002,834.02002,19664500
